idx,orig_label,text,top_tokens_orig,text_no_punct,top_tokens_no_punct,stability_no_punct,text_no_stopwords,top_tokens_no_stopwords,stability_no_stopwords
145,neutral,Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,"be, and, of, date, of",Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date,"of, date, that, be, details",0.6,Aldata said there still number operational aspects defined between Microsoft further details product market initiatives resulting agreement available later date.,"operational, details, there, initiatives, number",0.0
146,positive,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,"increase, considerably, current, ., reserves",The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi s current reserves considerably,"increase, current, reserves, s, to",0.6,soapstone deposits Medvezhyegorsk area expected increase Tulikivi ' s current reserves considerably.,"increase, expected, considerably, tu, area",0.4
147,neutral,The company continued the development of a fully human antibody in its VAP-1 antibody program .,"continued, the, a, antibody, human",The company continued the development of a fully human antibody in its VAP1 antibody program,"continued, the, of, antibody, the",0.6,company continued development fully human antibody VAP - 1 antibody program.,"program, development, human, ., continued",0.4
148,neutral,"The maximum obligated total trades per day is ISK 400,000,000 market value .","is, is, market, ted, total",The maximum obligated total trades per day is ISK 400000000 market value,"is, ted, total, 0, the",0.6,"maximum obligated total trades per day ISK 400, 000, 000 market value.","is, ted, total, value, maximum",0.6
149,neutral,"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .","addition, of, be, will, dem",Following the demerger the vice president of the group s pharmaceutical trade in Finland Jukka Niemi will be appointed managing director of Oriola in addition to his current responsibilities,"addition, be, will, in, current",0.6,"Following demerger, vice president group ' s pharmaceutical trade Finland, Jukka Niemi, appointed managing director Oriola addition his current responsibilities.",",, president, ,, s, responsibilities",0.0
150,positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .","increased, compared, from, sales, period",Both operating profit and net sales for the sixmonth period increased respectively from EUR7 5 m and EUR655 5 m as compared to the corresponding period in 2005,"increased, compared, from, sales, in",0.8,"Both operating profit net sales six - month period increased, respectively EUR7. 5 m EUR655. 5 m, compared corresponding period 2005.","increased, period, compared, ., ,",0.6
151,neutral,"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .","were, was, ., and, /",The Group s sales during the period were EUR 316 million EUR 366 million 162007 and profit before taxes was EUR 02 13 million,"were, was, group, the, sales",0.4,"- Group - ¦ s sales during period EUR 31. 6 million EUR 36. 6 million, 1 - 6 / 2007 profit before taxes EUR 0. 2 1. 3 million.","taxes, 0, eu, ,, sales",0.0
152,neutral,"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .","are, made, ., ', %",In volume the focus is already outside Finland as 60 of the group s products are made in Poland and the Baltic countries,"are, is, made, volume, and",0.4,"volume, focus already outside Finland, 60 % group ' s products made Poland Baltic countries.","products, focus, made, s, %",0.4
153,positive,"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .","compared, to, loss, of, total",Pretax profit totalled EUR 20 mn compared to a loss of EUR 1592 mn in the fourth quarter of 2008,"compared, to, loss, of, 2008",0.8,"Pretax profit totalled EUR 2. 0 mn, compared loss EUR 159. 2 mn fourth quarter 2008.","compared, loss, ., r, mn",0.4
154,neutral,"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .","are, ,, in, biggest, and",Berling Capital Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital,"are, in, capital, shareholders, biggest",0.6,"Berling Capital, Umo Capital Veikko Laine biggest shareholders Amanda Capital.",",, ., capital, biggest, ne",0.4
155,neutral,"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .","divide, ., be, will, a",The company s board of directors will propose a dividend of EUR 095 per share for 2008 at the annual general meeting scheduled to be held on March 23 2009,"propose, be, to, will, of",0.4,"company ' s board directors propose dividend EUR 0. 95 per share 2008 annual general meeting, scheduled held March 23, 2009.","divide, propose, nd, ,, .",0.4
156,neutral,The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,"pre, and, net, profit, of",The company had net sales of EUR 198 mn and a pretax profit of EUR 18 mn in 2005,"net, 18, and, sales, pre",0.6,company net sales EUR 19. 8 mn pre - tax profit EUR 1. 8 mn 2005.,"pre, 2005, net, company, eu",0.4
157,positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .","increased, from, period, compared, .",Both operating profit and net sales for the 12month period increased respectively from EUR4 7 m and EUR26 7 m as compared to 2004,"increased, from, sales, compared, the",0.6,"Both operating profit net sales 12 - month period increased, respectively EUR4. 7 m EUR26. 7 m, compared 2004.","increased, period, ,, sales, net",0.4
158,negative,"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .","down, from, ,, profit, the",Profit for the period totalled EUR 08 mn down from EUR 11 mn in the corresponding period in 2008,"down, from, r, 11, profit",0.6,"Profit period totalled EUR 0. 8 mn, down EUR 1. 1 mn corresponding period 2008.","down, profit, mn, total, mn",0.4
159,positive,"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .","won, a, expansion, order, $",Finnish telecoms software developer Tecnomen Oyj said on December 5 2006 it won a 33 mln 25 mln euro order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom,"won, a, expansion, for, euro",0.6,"Finnish telecoms software developer Tecnomen Oyj said December 5, 2006 won $ 3. 3 mln ( 2. 5 mln euro ) order supply expansion charging messaging systems mobile fixed networks Brasil Telecom.","won, supply, 3, $, .",0.4
160,positive,EBIT excluding non-recurring items was estimated to increase from 2009 .,"from, increase, estimated, was, excluding",EBIT excluding nonrecurring items was estimated to increase from 2009,"from, increase, estimated, to, non",0.6,EBIT excluding non - recurring items estimated increase 2009.,"estimated, increase, -, excluding, items",0.6
161,positive,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,"rose, to, from, uted, .",Diluted EPS rose to EUR3 68 from EUR0 50,"from, rose, to, uted, eps",0.8,Diluted EPS rose EUR3. 68 EUR0. 50.,"rose, eu, ., ., .",0.4
162,neutral,The value of the total investment is about EUR 600mn .,"about, ., of, the, is",The value of the total investment is about EUR 600mn,"n, about, is, of, value",0.6,value total investment about EUR 600mn.,"about, ., r, n, total",0.4
163,neutral,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .","be, o, and, his, will",Rautalinko was resposnible also for Mobility Services and his job in this division will be continued by Marek Hintze,"be, o, uta, will, by",0.6,"Rautalinko resposnible also Mobility Services, his job division continued Marek Hintze.","also, his, ble, continued, ze",0.2
164,neutral,The value of the orders is about EUR 25mn .,"is, about, of, the, 25",The value of the orders is about EUR 25mn,"is, about, of, n, value",0.6,value orders about EUR 25mn.,"about, orders, ., 25, r",0.4
165,positive,`` Demand for sports equipment was good in 2005 .,"good, was, 2005, ., demand",Demand for sports equipment was good in 2005,"good, demand, was, 2005, for",0.8,` ` Demand sports equipment good 2005.,"good, 2005, demand, `, equipment",0.6
166,neutral,"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .","decision, reflects, ., which, as",The decision reflects the underutilisation of the line which produces nonwovens used in medical and wipes applications as well as for the automotive industry,"reflects, decision, which, non, for",0.6,"decision reflects underutilisation line, which produces nonwovens used medical wipes applications well automotive industry.","decision, reflects, which, ation, produces",0.6
167,negative,"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .","decreased, sales, to, ', eu",In JulySeptember 2009 Konecranes sales decreased to EUR 3687 mn from EUR 5204 mn in JulySeptember 2008,"decreased, from, sales, to, r",0.6,"July - September 2009, Konecranes ' sales decreased EUR 368. 7 mn EUR 520. 4 mn July - September 2008.","decreased, ., ., ., eu",0.4
168,neutral,"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .","., industrial, include, as, ,",Products include Consumer Electronics devices such as mobile phones and their accessories settop boxes flat panel TVs as well as System Solutions products such as infrastructure systems modules and other industrial segment products,"such, s, set, products, include",0.2,"Products include Consumer Electronics devices such mobile phones their accessories, set - top boxes, flat panel TVs well System Solutions products such infrastructure systems, modules other industrial segment products.","include, ,, ,, their, ,",0.4
169,neutral,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","and, which, of, and, shares",Target company Tieto Corporation Business Identity Code 01011385 Date of change in holding 22 January 2010 Portion of the shares and votes The current group holding of OPPohjola Group Central Cooperative OPK is 2982 587 shares which represents 414 of the shares and voting rights,"and, which, and, of, represents",0.6,"Target company: Tieto Corporation, Business Identity Code: 0101138 - 5 Date change holding: 22 January 2010 Portion shares votes: current group holding OP - Pohjola Group Central Cooperative ( OPK ) 2982 587 shares, which represents 4. 14 % shares voting rights.","., votes, la, represents, op",0.0
170,positive,"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .","rose, to, from, ., s",Satama s net profit for the third quarter of 2007 rose to 275000 euro 395000 from 270000 euro 388000 for the same period of 2006,"rose, to, from, s, sat",0.8,"Satama ' s net profit third quarter 2007 rose 275, 000 euro ( $ 395, 000 ) 270, 000 euro ( $ 388, 000 ) same period 2006.","rose, profit, net, quarter, ,",0.2
171,neutral,"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .","had, revenue, staff, ., 2008",In 2008 Kemira recorded revenue of approximately EUR 28 billion and had a staff of 9400,"staff, revenue, had, 2008, mir",0.8,"2008, Kemira recorded revenue approximately EUR 2. 8 billion staff 9, 400.","revenue, approximately, recorded, ., ke",0.4
172,neutral,The maximum number of new shares to be offered is 22 million .,"of, new, is, to, shares",The maximum number of new shares to be offered is 22 million,"of, new, to, million, is",0.8,maximum number new shares offered 22 million.,"new, maximum, number, million, shares",0.4
173,neutral,"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .","and, profit, was, ,, eu",The Group s turnover in 2006 was EUR 392 million and operating profit was EUR 39 million,"was, profit, and, was, 39",0.6,"Group ' s turnover 2006 EUR 39. 2 million, operating profit EUR 3. 9 million.","group, s, ., 3, operating",0.0
174,neutral,Earnings per share EPS amounted to EUR0 .01 .,"amounted, earnings, share, 0, 01",Earnings per share EPS amounted to EUR0 01,"amounted, earnings, share, r, 01",0.8,Earnings per share EPS amounted EUR0. 01.,"amounted, earnings, share, eps, 01",0.8
175,neutral,The estimated value of the deal is USD 9.2 million .,"of, the, is, ., usd",The estimated value of the deal is USD 92 million,"of, the, is, value, estimated",0.6,estimated value deal USD 9. 2 million.,"value, million, estimated, ., deal",0.2
176,neutral,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .","is, ,, ., las, ton",Glaston s own glass processing unit Tamglass Glass Processing is a manufacturer of high quality safety glass products and operates in Finland,"is, of, and, a, tam",0.2,"Glaston ' s own glass processing unit, Tamglass Glass Processing, manufacturer high quality safety glass products, operates Finland.",",, ,, tam, own, manufacturer",0.2
177,positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .","from, increased, to, by, sales",The major breweries increased their domestic beer sales by 45 per cent last year to 25688 million litres from 24592 million litres in 2004,"from, increased, by, to, their",0.8,"major breweries increased their domestic beer sales 4. 5 per cent last year, 256. 88 million litres 245. 92 million litres 2004.","increased, their, year, last, ,",0.2
178,neutral,"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .","the, which, of, 68, following",Panostaja owns a 6877 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 2007,"the, which, of, exchange, of",0.6,"Panostaja owns 68. 77 pct share capital voting rights Suomen Helasto shares following exchange shares which carried out 30, 2007.","out, shares, owns, ., 2007",0.0
179,negative,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,"negative, compared, a, eu, 18",Cash flow from operations in JanuaryDecember 2008 was a negative EUR 181 mn compared to EUR 390 mn in the corresponding period in 2007,"negative, compared, a, eu, to",0.8,Cash flow operations January - December 2008 negative EUR 18. 1 mn compared EUR 39. 0 mn corresponding period 2007.,"negative, compared, 2008, ., r",0.4
180,neutral,GyPSii service supports ten different languages including Korean and Russian .,"korean, service, including, and, different",GyPSii service supports ten different languages including Korean and Russian,"service, korean, including, different, languages",0.8,GyPSii service supports ten different languages including Korean Russian.,"service, including, korean, russian, different",0.8
181,neutral,The company did not disclose the price of the acquisition .,"not, did, disclose, the, the",The company did not disclose the price of the acquisition,"not, did, the, disclose, acquisition",0.8,company did not disclose price acquisition.,"not, price, acquisition, did, company",0.4
182,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","rose, to, to, doubled, from",Net income from life insurance doubled to EUR 68 mn from EUR 32 mn and net income from nonlife insurance rose to EUR 52 mn from EUR 15 mn in the corresponding period in 2009,"rose, to, doubled, to, from",0.8,"Net income life insurance doubled EUR 6. 8 mn EUR 3. 2 mn, net income non - life insurance rose EUR 5. 2 mn EUR 1. 5 mn corresponding period 2009.","rose, doubled, eu, eu, mn",0.4
183,neutral,"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .","and, be, administration, made, shares",Payment for acquired shares will be made in cash and the price per share will be EUR 1 plus an administration fee,"plus, made, be, share, administration",0.6,"Payment acquired shares made cash, price per share EUR 1 plus administration fee.","made, ,, administration, 1, price",0.4
184,positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .","increased, from, compared, period, sales",Both operating profit and net sales for the sixmonth period increased respectively from EUR0 4 m and EUR3 2 m as compared to the corresponding period in 2005,"increased, from, compared, sales, period",1.0,"Both operating profit net sales six - month period increased, respectively EUR0. 4 m EUR3. 2 m, compared corresponding period 2005.","increased, period, ,, eu, operating",0.4
185,negative,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .","loss, operating, compared, profit, over",Operating loss of the Pulp Paper Machinery unit was over EUR 3mn in September 2007 August 2008 compared to a profit of EUR 37 mn a year earlier,"loss, operating, 2008, compared, a",0.6,"Operating loss Pulp & Paper Machinery unit over EUR 3mn September 2007 - August 2008, compared profit EUR 3. 7 mn year earlier.","loss, operating, compared, profit, 2008",0.8
186,neutral,Investment management and investment advisory services are the company 's sole line of business .,"are, ', of, s, sole",Investment management and investment advisory services are the company s sole line of business,"sole, s, are, the, business",0.6,Investment management investment advisory services company ' s sole line business.,"sole, ., ', business, company",0.4
187,neutral,"The record date for dividend distribution is March 14 , 2008 .","is, nd, 2008, march, the",The record date for dividend distribution is March 14 2008,"is, 14, record, nd, march",0.6,"record date dividend distribution March 14, 2008.","divide, ., march, nd, 2008",0.6
188,positive,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .","from, up, led, eu, .",The company s operating income EBIT totalled EUR 00 mn up from EUR 03 mn yearonyear,"from, up, s, eu, year",0.6,"company ' s operating income ( EBIT ) totalled EUR 0. 0 mn, up EUR - 0. 3 mn year - - year.","up, year, ., ., year",0.4
189,positive,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"from, grew, to, ., percent",Revenue grew 1 percent to euro742 2 million US 964 million from euro735 million,"from, grew, to, euro, revenue",0.6,Revenue grew 1 percent euro742. 2 million US $ 964 million euro735 million.,"grew, revenue, ., percent, .",0.6
190,positive,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .","won, deal, ., from, to",Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan as well as flights between Manchester in the UK and Helsinki in Finland,"won, deal, has, the, the",0.4,"Finnish airline Finnair won deal UK public sector official airline flights London Heathrow Osaka Japan, well flights between Manchester UK Helsinki Finland.","won, deal, airline, ., air",0.6
191,neutral,"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction .","., into, put, will, ,",These sections will be put into place to form the loadbearing steel structure of the bridge says Sami Eronen Senior Vice President Infrastructure and Northern Europe Ruukki Construction,"er, ru, of, into, put",0.4,"sections put into place form load - bearing steel structure bridge, ' ' says Sami Eronen, Senior Vice President, Infrastructure Northern Europe, Ruukki Construction.","form, put, ', says, ,",0.4
192,positive,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .","widened, loss, net, its, from",Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 32 mln euro 42 mln for the first quarter of fiscal 20062007 ending October 31 2007 from 900000 euro 12 mln for the same period of fiscal 200506,"loss, widened, from, its, to",0.8,"Finnish power supply solutions systems provider Efore Oyj said net loss widened 3. 2 mln euro $ 4. 2 mln first quarter fiscal 2006 - 2007 ending October 31, 2007 900, 000 euro $ 1. 2 mln same period fiscal 2005 - 06.","loss, widened, said, net, solutions",0.6
193,negative,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .","fell, year, to, on, profit",ADPnews Aug 3 2009 Finnish media group IlkkaYhtyma Oyj HEL ILK2S said today its net profit fell 45 on the year to EUR 59 million USD 84 m in the first half of 2009,"fell, profit, year, 45, net",0.6,"ADPnews - Aug 3, 2009 - Finnish media group Ilkka - Yhtyma Oyj HEL: ILK2S said today net profit fell 45 % year EUR 5. 9 million USD 8. 4 m first half 2009.","fell, profit, %, net, 45",0.4
194,neutral,"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .","., its, near, make, the",The company s plant in Russia will continue to make tyres for its near markets while the plant in Nokia in Finland will manufacture tyres for other markets,"continue, russia, while, finland, nokia",0.0,"company ' s plant Russia continue make tyres near markets, plant Nokia Finland manufacture tyres other markets.","near, plant, continue, make, nokia",0.4
195,neutral,A paper mill in the central Maine town of Madison soon will have a new owner .,"will, town, a, a, have",A paper mill in the central Maine town of Madison soon will have a new owner,"will, a, town, a, of",0.6,paper mill central Maine town Madison soon new owner.,"new, soon, owner, maine, .",0.0
196,positive,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .","strengthened, will, sales, be, said",Systeemitiimi s sales and project resources will also be strengthened director Paul Skogberg said,"strengthened, director, and, also, said",0.4,"Systeemitiimi ' s sales project resources also strengthened, director Paul Skogberg said.","strengthened, resources, also, ,, said",0.4
197,neutral,"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .","2008, m, system, net, in",In 2008 AVC Systemhaus had net sales of EUR 10 million USD 71 m,"net, million, system, 71, 2008",0.6,"2008, AVC Systemhaus net sales EUR 10 million USD 7. 1 m.","m, 2008, system, usd, .",0.6
198,neutral,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .,"of, invite, to, shares, their",Sanoma Magazines International will invite other shareholders holding approximately 15 of the shares to sell their shares,"invite, to, of, shares, sell",0.8,Sanoma Magazines International invite other shareholders holding approximately 15 % shares sell their shares.,"%, shares, holding, shareholders, approximately",0.2
199,positive,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,"received, has, ., significant, term",Major Order in India Comptel Corporation has received a significant longterm order for mediation and provisioning solutions being used by a leading operator in India,"received, has, order, a, significant",0.6,Major Order India Comptel Corporation received significant long - term order mediation provisioning solutions used leading operator India.,"received, significant, ., order, term",0.8
